0,5004882,2
0,5008789,0
1,5012695,0
3,5016601,0
2,5020507,2
0,5025390,2
0,5029296,4
0,5033203,2
0,5037109,2
0,5041015,0
7,5044921,0
0,5049804,2
0,5053710,0
0,5057617,2
0,5061523,0
0,5065429,0
0,5070312,0
6,5074218,0
0,5078125,6
6,5082031,0
0,5085937,0
0,5090820,0
0,5094726,0
0,5098632,0
0,5102539,0
1,5106445,0
1,5111328,0
0,5115234,1
0,5119140,0
0,5123046,0
2,5126953,0
1,5130859,0
2,5135742,0
0,5139648,0
0,5143554,0
4,5147460,0
0,5151367,6
0,5156250,0
0,5160156,6
0,5164062,3
0,5167968,0
0,5171875,0
0,5176757,0
0,5180664,4
3,5184570,0
1,5188476,0
0,5192382,0
0,5197265,0
0,5201171,0
4,5205078,0
0,5208984,0
0,5212890,0
1,5216796,11
0,5221679,0
0,5225585,0
0,5229492,0
0,5233398,9
0,5237304,5
0,5242187,0
0,5246093,0
0,5250000,0
0,5253906,0
1,5257812,2
0,5262695,0
0,5266601,11
0,5270507,0
3,5274414,0
0,5278320,0
0,5283203,0
0,5287109,0
0,5291015,0
0,5294921,0
0,5298828,1
0,5303710,0
0,5307617,0
0,5311523,0
3,5315429,0
0,5319335,7
0,5323242,0
0,5328125,0
2,5332031,4
0,5335937,0
7,5339843,0
1,5343750,4
0,5348632,0
3,5352539,2
0,5356445,0
8,5360351,0
1,5364257,5
0,5369140,4
1,5373046,2
0,5376953,1
0,5380859,8
0,5384765,0
0,5389648,0
1,5393554,0
0,5397460,0
2,5401367,2
0,5405273,0
2,5409179,0
